feature_name,importance
Lat,0.7018276095264884
Long_,0.12842624326408542
Absolute_time,0.08415427908332962
Specie_wd_Count,0.06453138073503248
Specie_co_Max,0.009813695240944128
Specie_o3_Count,0.0035248277691802806
Specie_temperature_Count,0.002438964061366302
Specie_no2_Count,0.0014091958881429997
Specie_pressure_Variance,0.0007402553522407702
Specie_wind_gust_Count,0.00038293715040122215
Specie_pm10_Count,0.00030090253835532644
Specie_co_Min,0.00026099558961861124
Specie_so2_Count,0.00022251192984718498
Specie_co_Variance,0.00022251141228834024
Specie_wind_speed_Count,0.00017748060637985016
Specie_pm25_Count,0.00017306482058408523
Specie_co_Count,0.00010636366459049014
Specie_co_Median,0.00010428061687471374
Specie_humidity_Count,0.00010349207880825673
Specie_dew_Count,0.00010104405813730304
Specie_pm25_Max,8.166130830665442e-05
Specie_dew_Median,6.672131827659834e-05
Specie_humidity_Max,5.859574562292347e-05
Specie_temperature_Median,5.394661358120998e-05
Specie_pm25_Variance,5.189816787259485e-05
Specie_wind_speed_Variance,4.326901426552857e-05
Specie_temperature_Min,4.048699522179365e-05
Specie_humidity_Min,4.046619049750182e-05
Specie_pm10_Median,3.070527524256296e-05
Specie_dew_Max,2.79142932483627e-05
Specie_wind_speed_Min,2.7194572036045283e-05
Specie_pm25_Min,2.7043011337754257e-05
Specie_wind_speed_Median,2.592542856838237e-05
Specie_wind_gust_Variance,2.2972529946329363e-05
Specie_no2_Median,2.2912319935569404e-05
Specie_pressure_Median,2.2749481421777807e-05
Specie_pressure_Count,2.2006203834179643e-05
Specie_pressure_Max,2.138297186416503e-05
Specie_pm25_Median,2.0036251863845412e-05
Specie_dew_Min,1.8525257008424552e-05
Specie_temperature_Max,1.803232042242098e-05
Specie_o3_Max,1.791030306427426e-05
Specie_pm10_Min,1.779328181413184e-05
Specie_o3_Variance,1.695136158545501e-05
Specie_temperature_Variance,1.6910196519004417e-05
Specie_humidity_Variance,1.573021116565086e-05
Specie_no2_Min,1.4030456898409746e-05
Specie_wind_speed_Max,1.4027015098734972e-05
Specie_humidity_Median,1.366159340019713e-05
Specie_pressure_Min,1.3532755654156273e-05
Specie_o3_Median,1.2652270165254128e-05
Specie_pm10_Max,1.2028879173401189e-05
Specie_no2_Max,1.0818132710005546e-05
Specie_wind_gust_Min,9.943873337065072e-06
Specie_no2_Variance,8.518152514970134e-06
Specie_so2_Median,6.545718654505633e-06
Specie_pm10_Variance,5.777666922534185e-06
Specie_o3_Min,5.246331134951433e-06
Specie_wind_gust_Median,4.904560697765792e-06
Specie_dew_Variance,4.121220195156785e-06
Specie_so2_Max,2.68367963845602e-06
Specie_so2_Variance,2.619317442260404e-06
Specie_wind_gust_Max,2.3045936652709046e-06
Specie_so2_Min,1.791579156626844e-06
Specie_wd_Max,9.719640922322579e-07
Specie_wd_Median,7.090354746195818e-07
Specie_wd_Variance,6.194433862411176e-07
Specie_wd_Min,3.908092108305864e-07
Specie_precipitation_Count,1.5523809685312815e-07
Specie_precipitation_Max,7.461326530498903e-08
Specie_precipitation_Variance,7.32666821008346e-08
Specie_precipitation_Median,1.835511610073548e-08
Specie_precipitation_Min,3.466997303771093e-09
